日期,环号,导向盾首里程,刀盘喷水泵压力,刀盘转速,刀盘扭矩,刀盘给定转速,刀盘贯入度,总推力,推进速度(nn/M),推进位移,推进给定速度,撑靴泵压力,左侧护盾压力,右侧护盾压力,顶护盾压力,撑紧压力,前部拖拉油缸压力,后部拖拉油缸压力
2021-10-03 17:53:22,-1,58233.19,0.0787037,0.000799302,176.2166,0.0,0.0,0.0,0.0,44.45898,0.0,320.0376,20.51505,59.8669,57.01678,292.4045,17.25984,35.17072
2021-10-03 17:53:23,-1,58233.19,0.08275463,0.000799302,2.005626,0.0,0.0,0.0,0.0,44.45898,0.0,319.9508,20.48611,59.85243,56.97338,294.4879,17.24537,35.17072
2021-10-03 17:53:24,-1,58233.19,0.0787037,0.001198953,2.284185,0.0,0.0,0.0,0.0,44.45898,0.0,319.7772,20.47164,59.85243,56.97338,295.6308,17.25984,35.17072
2021-10-03 17:53:25,-1,58233.19,0.08217593,0.0005994765,1.782779,0.0,0.0,0.0,0.0,44.45898,0.0,320.2257,20.50058,59.83796,57.00231,296.2384,17.24537,35.19965
2021-10-03 17:53:26,-1,58233.19,0.08159722,0.0009991274,2.061338,0.0,0.0,0.0,0.0,44.45898,0.0,319.9219,20.51505,59.8669,57.00231,297.0052,17.25984,35.22859
2021-10-03 17:53:27,-1,58233.19,0.08159722,0.001198953,2.339897,0.0,0.0,0.0,0.0,44.45898,0.0,319.9942,20.51505,59.85243,56.97338,297.6418,17.2309,35.17072
2021-10-03 17:53:28,-1,58233.19,0.08101851,0.0005994765,41.95102,0.9773583,0.0,0.0,0.0,44.45898,0.0,319.9653,20.51505,59.85243,56.97338,298.1047,17.24537,35.18518
2021-10-03 17:53:29,-1,58233.19,0.08101851,0.1097042,47.0208,1.367059,0.0,0.0,0.0,44.45898,0.0,320.0666,20.57292,59.8669,56.95892,298.4375,17.2309,35.17072
2021-10-03 17:53:30,-1,58233.19,0.08217593,0.265768,24.84748,1.614712,0.0,0.0,0.0,44.45898,0.0,320.1678,20.51505,59.91031,57.00231,298.7992,17.24537,35.18518
2021-10-03 17:53:31,-1,58233.19,0.08101851,0.4472094,67.91273,1.821779,0.0,0.0,0.0,44.45898,0.0,320.2546,20.44271,59.8669,57.03125,299.2332,17.24537,35.18518
2021-10-03 17:53:32,-1,58233.19,0.08275463,0.6278517,101.2841,2.001514,0.0,0.0,0.0,44.45898,0.0,320.0666,20.47164,59.92477,57.03125,299.5515,17.28877,35.17072
2021-10-03 17:53:33,-1,58233.19,0.07928241,0.8290759,101.3398,2.286852,0.0,0.0,0.0,44.45898,0.0,322.555,20.50058,59.89583,57.00231,299.7107,17.28877,35.15625
2021-10-03 17:53:34,-1,58233.19,0.08101851,1.028702,116.1035,2.451264,0.0,0.0,0.0,44.45898,0.0,316.7535,20.42824,59.83796,57.01678,300.7234,17.25984,35.18518
2021-10-03 17:53:35,-1,58233.19,0.08275463,1.208145,121.6189,3.159849,0.0,0.0,0.0,44.30345,0.0,318.3304,20.3559,59.79456,57.03125,300.7813,17.28877,35.19965
2021-10-03 17:53:36,-1,58233.19,0.08217593,1.39718,119.0562,3.503994,0.0,0.0,0.0,44.45898,0.0,316.5364,20.47164,59.8669,56.97338,300.6366,17.25984,35.18518
2021-10-03 17:53:37,-1,58233.19,0.08391204,1.611593,122.9003,3.711062,0.0,0.0,0.0,44.45898,0.0,316.2326,20.48611,59.82349,56.95892,300.5353,17.25984,35.17072
2021-10-03 17:53:38,-1,58233.19,0.08159722,1.790437,118.6662,3.926827,0.0,0.0,0.0,44.53676,0.0,316.3339,20.63079,59.75116,56.8721,300.434,17.28877,35.18518
2021-10-03 17:53:39,-1,58233.19,0.08391204,1.967482,120.3933,4.041542,0.0,0.0,0.0,44.45898,0.0,316.2471,20.70313,59.69329,56.97338,300.3617,17.24537,35.18518
2021-10-03 17:53:40,-1,58233.19,0.08275463,2.161313,123.0117,4.120227,0.0,0.0,0.0,44.45898,0.0,316.305,20.83333,59.63542,56.97338,300.2749,17.25984,35.22859
2021-10-03 17:53:41,-1,58233.19,0.08275463,2.369331,124.9616,4.140934,0.3939038,21.0,0.9332886,44.45898,0.0,316.3194,21.00694,59.64988,56.92998,300.2459,17.25984,35.22859
2021-10-03 17:53:42,-1,58233.19,0.08391204,2.546976,126.0202,4.137621,0.3664301,0.0,0.9332886,44.45898,3.428819,316.3339,21.06482,59.78009,56.88657,300.1447,17.25984,35.18518
2021-10-03 17:53:44,-1,58233.19,0.08391204,2.72542,126.7444,4.139277,0.3424385,105.0,0.9332886,44.45898,8.579282,316.3773,20.87674,59.8669,56.95892,300.0723,17.24537,35.19965
2021-10-03 17:53:45,-1,58233.19,0.08391204,2.922848,126.1316,4.139277,0.637831,188.3438,1.866577,44.45898,8.112702,316.2761,20.8478,59.98264,56.95892,300.0289,17.24537,35.19965
2021-10-03 17:53:46,-1,58233.19,0.08217593,3.127269,125.5745,4.138864,0.2984356,388.5,0.9332886,44.45898,6.032987,316.3773,20.41377,60.05498,57.04572,299.8842,17.25984,35.19965
2021-10-03 17:53:47,-1,58233.19,0.08680555,3.305513,121.3961,4.139277,0.5646861,519.0938,1.866577,44.45898,5.761719,316.3194,20.18229,60.06944,57.03125,299.783,17.28877,35.19965
2021-10-03 17:53:48,-1,58233.19,0.08159722,3.484357,124.1817,4.136793,0.8026783,739.5938,2.799866,44.53676,4.958767,316.3773,20.51505,60.08392,57.10358,299.6383,17.30324,35.19965
2021-10-03 17:53:49,-1,58233.19,0.08738426,3.69897,123.6246,4.138035,0.7560735,905.6249,2.799866,44.45898,4.991319,316.3918,20.37037,60.04051,57.40741,299.4502,17.30324,35.19965
2021-10-03 17:53:50,-1,58233.19,0.08275463,3.886007,114.5993,4.139277,1.200738,1094.625,4.666077,44.69228,4.998553,309.9537,20.97801,59.8669,57.2338,300.8681,17.28877,35.22859
2021-10-03 17:53:51,-1,58233.19,0.08449074,4.026484,96.82718,4.13845,1.854118,1217.344,7.465576,44.92557,5.00217,317.4045,21.31076,59.83796,57.72569,300.6944,17.28877,35.19965
2021-10-03 17:53:52,-1,58233.19,0.08391204,4.089029,76.10236,4.138035,1.825624,1452.281,7.465393,45.00333,4.987703,316.1314,21.77373,59.72222,57.87037,300.434,17.25984,35.22859
2021-10-03 17:53:53,-1,58233.19,0.08564815,4.094225,74.37531,4.13845,2.507164,1611.75,10.26489,45.23662,4.998553,315.8131,22.35243,59.64988,58.05844,300.0723,17.31771,35.19965
2021-10-03 17:53:54,-1,58233.19,0.08449074,4.094025,76.88235,4.139277,2.963124,1776.469,12.1311,45.39214,5.005787,316.0156,22.35243,59.75116,58.24653,299.8119,17.30324,35.19965
2021-10-03 17:53:55,-1,58233.19,0.08391204,4.092826,83.2892,4.136379,3.420008,1913.625,13.9975,45.78096,4.991319,316.1314,22.97454,59.72222,58.44907,299.4792,17.31771,35.19965
2021-10-03 17:53:56,-1,58233.19,0.08275463,4.090228,96.10292,4.138864,2.965875,2074.406,12.1311,46.01425,4.994936,316.1314,23.00347,59.64988,58.92651,299.2043,17.30324,35.18518
2021-10-03 17:53:57,-1,58233.19,0.08506945,4.094025,87.46758,4.139277,3.419006,2211.563,13.9975,46.09201,4.991319,316.1748,23.95833,59.49074,59.31713,298.8426,17.30324,35.24305
2021-10-03 17:53:58,-1,58233.19,0.08564815,4.091627,96.82718,4.136793,2.96486,2376.938,12.1311,46.24754,4.991319,316.1603,24.78299,59.36053,59.4184,298.3796,17.30324,35.22859
2021-10-03 17:53:59,-1,58233.19,0.08506945,4.092227,97.71857,4.138035,3.192445,2470.781,13.06421,46.48082,4.991319,316.1748,25.31828,59.17245,59.50521,298.0324,17.33218,35.18518
2021-10-03 17:54:00,-1,58233.19,0.08449074,4.091826,100.5042,4.14052,2.964716,2644.688,12.1311,46.79189,4.991319,315.9143,25.40509,59.11458,59.50521,297.2222,17.31771,35.18518
2021-10-03 17:54:01,-1,58233.19,0.08391204,4.094225,98.55425,4.13845,3.190887,2708.344,13.06421,46.86964,4.994936,315.6684,24.88426,58.99884,59.62094,296.8461,17.31771,35.22859
2021-10-03 17:54:02,-1,58233.19,0.08796296,4.092227,101.3398,4.139692,2.964426,2842.219,12.1311,46.94742,4.980469,315.5961,25.20255,58.92651,59.43287,296.7014,17.33218,35.18518
2021-10-03 17:54:03,-1,58233.19,0.08391204,4.094025,94.65441,4.138864,3.418962,2930.813,13.99731,47.33623,4.980469,315.5092,24.52257,58.8831,59.34606,296.5857,17.37558,35.18518
2021-10-03 17:54:04,-1,58233.19,0.08506945,4.096623,86.18622,4.137207,3.417049,2900.625,13.99768,47.414,4.994936,315.5527,24.47917,58.7529,59.31713,296.6001,17.33218,35.18518
