日期,环号,导向盾首里程,刀盘喷水泵压力,刀盘转速,刀盘扭矩,刀盘给定转速,刀盘贯入度,总推力,推进速度(nn/M),推进位移,推进给定速度,撑靴泵压力,左侧护盾压力,右侧护盾压力,顶护盾压力,撑紧压力,前部拖拉油缸压力,后部拖拉油缸压力
2020-09-24 12:51:02,-1,66015.41,0.01736111,0.0,0.0,0.0,0.0,0.0,0.0,2.544571,0.0,266.8837,11.58854,31.17766,60.99537,292.1007,8.796296,52.80671
2020-09-24 12:51:03,-1,66015.41,0.01851852,0.0004795812,48.80357,0.0,0.0,0.0,0.0,2.466797,0.0,266.8403,11.58854,31.19213,60.95197,292.1007,8.796296,52.77778
2020-09-24 12:51:04,-1,66015.41,0.01793982,0.0007193718,-1.114237,0.0,0.0,0.0,0.0,2.544571,0.0,266.8547,11.57407,31.17766,60.99537,292.0862,8.796296,52.77778
2020-09-24 12:51:05,-1,66015.41,0.01793982,0.0007193718,-1.559931,0.0,0.0,0.0,0.0,2.466797,0.0,266.9126,11.58854,31.17766,60.9375,292.0573,8.796296,52.77778
2020-09-24 12:51:06,-1,66015.41,0.02025463,0.0007193718,-1.225661,0.0,0.0,0.0,0.0,2.544571,0.0,267.0284,11.54514,31.17766,60.9809,292.0573,8.825232,52.77778
2020-09-24 12:51:07,-1,66015.41,4.75,0.0007193718,-0.8913894,0.0,0.0,0.0,0.0,2.466797,0.0,266.956,11.54514,31.14873,60.99537,292.1007,8.796296,52.77778
2020-09-24 12:51:08,-1,66015.41,5.200232,0.001198953,-0.5571184,0.0,0.0,0.0,0.0,2.466797,0.0,266.7969,11.57407,31.17766,60.99537,292.0862,8.825232,52.77778
2020-09-24 12:51:09,-1,66015.41,5.506366,0.0007193718,-0.334271,0.0,0.0,0.0,0.0,2.544571,0.0,266.7679,11.57407,31.14873,60.9809,292.0862,8.796296,52.76331
2020-09-24 12:51:10,-1,66015.41,5.767361,0.0,4.735507,0.122998,0.0,0.0,0.0,2.466797,0.0,266.8692,11.60301,31.17766,60.95197,292.0862,8.825232,52.76331
2020-09-24 12:51:11,-1,66015.41,5.811921,0.04460105,47.96789,0.2965205,0.0,0.0,0.0,2.466797,0.0,266.6667,11.57407,31.17766,60.95197,292.0573,8.796296,52.74884
2020-09-24 12:51:12,-1,66015.41,5.797454,0.1695319,34.3185,0.3019043,0.0,0.0,0.0,2.466797,0.0,266.6233,11.54514,31.17766,60.9375,292.0573,8.781829,52.76331
2020-09-24 12:51:13,-1,66015.41,5.787037,0.2829529,23.62182,0.4381547,0.0,0.0,0.0,2.466797,0.0,266.6233,11.57407,31.19213,60.9809,292.0428,8.781829,52.74884
2020-09-24 12:51:14,-1,66015.41,5.829282,0.3757519,39.72254,0.5702637,0.0,0.0,0.0,2.544571,0.0,266.8113,11.57407,31.17766,60.9809,292.1152,8.767362,52.76331
2020-09-24 12:51:15,-1,66015.41,5.805555,0.4831781,76.60378,0.6576461,0.0,0.0,0.0,2.466797,0.0,266.7101,11.58854,31.14873,60.99537,292.0428,8.796296,52.76331
2020-09-24 12:51:16,-1,66015.41,5.804977,0.5783749,77.99657,0.8502188,0.0,0.0,0.0,2.466797,0.0,266.7969,11.60301,31.13426,60.99537,292.0573,8.752893,52.76331
